,code,name,industry,main_product
79,267080,세븐브로이맥주,알코올음료 제조업,맥주 등 주류 및 음료
80,452190,한빛레이저,특수 목적용 기계 제조업,산업용 레이저 가공장비
81,022100,포스코DX,"건축기술, 엔지니어링 및 관련 기술 서비스업",EIC 자동화 엔지니어링 및 IT서비스
82,017860,DS단석,기타 화학제품 제조업,바이오에너지
83,467930,IBKS제23호스팩,금융 지원 서비스업,기업인수 및 합병
84,469880,하나30호스팩,금융 지원 서비스업,기업인수합병
85,109670,씨싸이트,봉제의복 제조업,니트류 OEM
86,439580,블루엠텍,기타 전문 도매업,의약품 유통업
87,417200,LS머트리얼즈,전자부품 제조업,울트라커패시터(셀 및 모듈)
88,432470,케이엔에스,특수 목적용 기계 제조업,이차전지 자동화 설비
89,465320,교보15호스팩,금융 지원 서비스업,기업인수합병
90,338840,와이바이오로직스,자연과학 및 공학 연구개발업,항체의약품 및 항체후보물질 연구개발
91,468510,삼성스팩9호,금융 지원 서비스업,기업인수합병
92,355690,에이텀,전자부품 제조업,평판형 트랜스
93,466910,엔에이치스팩30호,금융 지원 서비스업,금융지원서비스업
94,453860,에이에스텍,기타 화학제품 제조업,자외선 차단제 유기 원료
95,402490,그린리소스,반도체 제조업,반도체 및 디스플레이 장비 보호코팅 및 소재
96,452160,제이엔비,특수 목적용 기계 제조업,"진공 펌프용 유틸리티 장치(Stacker 등), 정밀가공 부품"
97,452280,한선엔지니어링,기타 금속 가공제품 제조업,"계장용 피팅 및 밸브, 모듈"
98,111380,동인기연,"가죽, 가방 및 유사제품 제조업","스포츠용품(등산용가방,골프백),금속압형제품,유아용품 제조,도소매,통신 판매/부동산 임대"
99,448280,에코아이,기타 전문 서비스업,탄소배출권 및 탄소배출권 관련 컨설팅
100,352090,스톰테크,플라스틱제품 제조업,"정수기 피팅, 밸브, 파우셋 등 부품"
101,450080,에코프로머티,일차전지 및 이차전지 제조업,배터리 양극재용 핵심소재 하이니켈 전구체
102,452300,캡스톤파트너스,기타 금융업,벤처투자조합 등 조합 결성 및 운영
103,296160,프로젠,자연과학 및 공학 연구개발업,바이오의약품
104,365330,에스와이스틸텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크플레이트
105,445090,에이직랜드,반도체 제조업,"비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등"
106,464440,한국제13호스팩,금융 지원 서비스업,기업인수합병
107,446540,메가터치,일차전지 및 이차전지 제조업,"배터리 핀, 반도체 핀"
108,413640,비아이매트릭스,소프트웨어 개발 및 공급업,로우코드 기반 코딩 자동화 솔루션 등
109,451760,컨텍,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션"
110,372320,큐로셀,자연과학 및 공학 연구개발업,CAR-T 세포치료제
111,088280,쏘닉스,반도체 제조업,RF필터 파운드리
112,464680,KB제27호스팩,금융 지원 서비스업,기업인수합병
113,188260,세니젠,그외 기타 제품 제조업,"Genelix, Genext, Geneka 등"
114,290560,신시웨이,소프트웨어 개발 및 공급업,DB보안솔루션 등
115,240600,유진테크놀로지,기타 금속 가공제품 제조업,이차전지 정밀금형 외
116,221800,유투바이오,기타 과학기술 서비스업,"체외진단검사서비스, 의료IT솔루션"
117,432720,퀄리타스반도체,반도체 제조업,초고속 통신용 반도체 IP
118,351020,미쥬,봉제의복 제조업,"여성의류, 골프의류 등"
119,396470,워트,특수 목적용 기계 제조업,초정밀 온습도 제어장비
120,246250,에스엘에스바이오,"그외 기타 전문, 과학 및 기술 서비스업","의약품 품질관리, 신약개발지원, 체외진단기기"
121,416180,신성에스티,자동차 신품 부품 제조업,전기차/2차전지 Busbar 및 배터리모듈 보호 부품 등
122,445180,퓨릿,기초 화학물질 제조업,"반도체용 케미컬, 디스플레이용 케미컬, 산업용 케미컬"
123,289170,바이오텐,기타 식품 제조업,"일반식품, 건강기능식품, 보조사료"
124,462020,에이치엠씨제6호스팩,금융 지원 서비스업,합병
125,451220,아이엠티,특수 목적용 기계 제조업,건식세정 장비 및 EUV Mask Baking Laser
126,443250,레뷰코퍼레이션,광고업,"REVU 서비스(컨텐츠마케팅, 로컬, 에이전시)"
127,454910,두산로보틱스,특수 목적용 기계 제조업,협동로봇
128,452980,신한제11호스팩,금융 지원 서비스업,금융서비스(기업인수목적 회사)
129,430690,한싹,소프트웨어 개발 및 공급업,망간자료전송
130,418470,밀리의서재,"서적, 잡지 및 기타 인쇄물 출판업",전자책 정기구독 서비스
131,450520,인스웨이브시스템즈,소프트웨어 개발 및 공급업,"UI/UX 개발 솔루션, 엔터프라이즈 DX 솔루션, 금융 단말 솔루션 등"
132,403490,우듬지팜,"과실, 채소 가공 및 저장 처리업","스테비아 토마토, 대추방울 토마토, 완숙 토마토 등"
133,384470,코어라인소프트,소프트웨어 개발 및 공급업,의료영상 진단보조 솔루션
134,465770,STX그린로지스,해상 운송업,해상운송업 및 물류업
135,452670,상상인제4호스팩,금융 지원 서비스업,합병
136,146060,율촌,1차 철강 제조업,냉간인발강관(파이프)
137,455310,한화플러스제4호스팩,금융 지원 서비스업,-
138,457630,대신밸런스제16호스팩,금융 지원 서비스업,기타 금융서비스업
139,444920,유안타제11호스팩,금융 지원 서비스업,금융 지원 서비스업
140,355390,크라우드웍스,소프트웨어 개발 및 공급업,인공지능 데이터 구축 서비스
141,457390,대신밸런스제15호스팩,금융 지원 서비스업,금융 지원 서비스업
142,458610,한국제12호스팩,금융 지원 서비스업,기업인수합병
143,448900,한국피아이엠,자동차 신품 부품 제조업,정밀 금속가공 부품
144,418250,시큐레터,소프트웨어 개발 및 공급업,"SLE(이메일 보안), SLF(파일 보안)"
145,424960,스마트레이더시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",모빌리티 및 비모빌리티용 4D이미징레이다
146,092790,넥스틸,1차 철강 제조업,"OCTG Pipe, Line Pipe, Standard Pipe, 일반관"
147,210120,빅텐츠,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상 제작, 공급"
148,457940,SK증권제10호스팩,금융 지원 서비스업,기업인수합병
149,458320,KB제26호스팩,금융 지원 서비스업,기업인수목적
150,448710,코츠테크놀로지,컴퓨터 및 주변장치 제조업,"싱글보드컴퓨터(SBC), 군용 전시기 등"
151,445680,큐리옥스바이오시스템즈,의료용 기기 제조업,세포 전처리 자동화기기 등
152,454750,하나28호스팩,금융 지원 서비스업,기업인수합병
153,030190,NICE평가정보,기타 정보 서비스업,"개인 및 기업정보, 솔루션"
154,440110,파두,반도체 제조업,SSD 컨트롤러
155,373170,엠아이큐브솔루션,소프트웨어 개발 및 공급업,"스마트팩토리 솔루션, 제조지능화 솔루션"
156,429270,시지트로닉스,반도체 제조업,특화반도체 소자
157,446440,에피바이오텍,자연과학 및 공학 연구개발업,탈모 치료제
158,462520,조선내화,"내화, 비내화 요업제품 제조업",내화 요업제품
159,172670,에이엘티,반도체 제조업,반도체 테스트 및 패키징(반도체 후공정)
160,450940,유안타제14호스팩,금융 지원 서비스업,금융 지원 서비스
161,388870,파로스아이바이오,자연과학 및 공학 연구개발업,PHI-101 급성골수성백혈병 치료제 및 재발성난소암 치료제
162,456700,길교이앤씨,"건축기술, 엔지니어링 및 관련 기술 서비스업",강합성 라멘교
163,438700,버넥트,소프트웨어 개발 및 공급업,산업용 XR 솔루션
164,406820,뷰티스킨,기타 화학제품 제조업,"화장품 제조, 브랜드, 유통 사업"
165,455910,SK증권제9호스팩,금융 지원 서비스업,기업인수목적회사
166,432430,와이랩,"영화, 비디오물, 방송프로그램 제작 및 배급업",만화출판물의 제작 및 영상물 제작
167,321370,센서뷰,절연선 및 케이블 제조업,"T&M 케이블, 초소형 전송선로"
168,456570,아이엠지티,의료용품 및 기타 의약 관련제품 제조업,치료용 집속초음파 기기
169,378340,필에너지,특수 목적용 기계 제조업,2차전지 제조장비
170,456440,DB금융스팩11호,기타 금융업,기업인수목적
171,456490,교보14호스팩,금융 지원 서비스업,기업 인수 및 합병
172,274400,이노시뮬레이션,소프트웨어 개발 및 공급업,"스마트 모빌리티 시뮬레이터, XR 가상훈련 시스템 등"
173,419700,이브이파킹서비스,기계장비 및 관련 물품 도매업,전기차 충전 솔루션 및 인프라
174,354320,알멕,1차 비철금속 제조업,알루미늄 압출 제품
175,440320,오픈놀,소프트웨어 개발 및 공급업,미니인턴플랫폼(커리어 및 채용 플랫폼)
176,232830,시큐센,소프트웨어 개발 및 공급업,"디지털 금융 서비스 구축, 모바일 보안솔루션, 생체인증 전자서명"
177,454640,하나29호스팩,금융 지원 서비스업,기업인수합병
178,455250,KB제25호스팩,금융 지원 서비스업,기업인수합병
179,451700,엔에이치스팩29호,금융 지원 서비스업,금융 지원 서비스업
180,450050,하이제8호스팩,금융 지원 서비스업,기업인수합병
181,296520,가이아코퍼레이션,생활용품 도매업,"유아용품, 완구, 굿즈"
182,090460,비에이치,전자부품 제조업,FPCB (연성인쇄회로기판)
183,460850,동국씨엠,1차 철강 제조업,"냉연강판, 칼라강판"
184,460860,동국제강,1차 철강 제조업,"봉강,형강,후판,냉연강판,칼라강판"
185,303360,프로티아,의료용 기기 제조업,알레르기 진단 제품
186,348080,큐라티스,자연과학 및 공학 연구개발업,"백신 및 면역증강제 개발제조업, CMO/CDMO"
187,439090,마녀공장,기타 화학제품 제조업,자연주의 기능성 화장품
188,405920,나라셀라,음·식료품 및 담배 도매업,와인 도소매
189,285800,진영,플라스틱제품 제조업,"가구용 ASA플라스틱 시트, 엣지밴드"
190,457190,이수스페셜티케미컬,기초 화학물질 제조업,석유화학제품 및 정밀화학제품
191,456040,OCI,기초 화학물질 제조업,"폴리실리콘,타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
192,420770,기가비스,특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비
193,271830,팸텍,특수 목적용 기계 제조업,"카메라모듈 검사장비, 반도체 검사장비"
194,434480,모니터랩,소프트웨어 개발 및 공급업,"웹방화벽,유해사이트솔루션,가시성SSL 솔루션, SASE플랫폼기반 SECaaS"
195,340810,씨유박스,소프트웨어 개발 및 공급업,"AI얼굴인식 시스템, AI얼굴인증 솔루션, AI 객체인식 솔루션, AI데이터 플랫폼"
196,456190,큐라켐,의료용품 및 기타 의약 관련제품 제조업,방사성동위원소 표지화합물 합성
197,446840,키움제8호스팩,금융 지원 서비스업,기업 인수합병
198,417790,트루엔,영상 및 음향기기 제조업,"IP 카메라, 영상스트리밍솔루션, IoT기기 및 서비스"
199,012210,삼미금속,기타 금속 가공제품 제조업,상용차/중장비/선박엔진 부품
200,304360,에스바이오메딕스,의약품 제조업,줄기세포 치료제 연구 및 개발
201,298830,슈어소프트테크,소프트웨어 개발 및 공급업,소프트웨어 자동화 검증 플랫폼
202,393210,토마토시스템,소프트웨어 개발 및 공급업,"UI/UX솔루션, 대학정보화사업 SW"
203,424980,마이크로투나노,반도체 제조업,메모리 테스트용 프로브 카드
204,318160,셀바이오휴먼텍,기타 섬유제품 제조업,마스크팩 섬유소재(시트)
205,100090,SK오션플랜트,1차 철강 제조업,해상풍력 하부구조물
206,283100,노보믹스,자연과학 및 공학 연구개발업,위암 예후예측 진단키트
207,448730,삼성FN리츠,부동산 임대 및 공급업,대치타워 및 에스원빌딩
208,453340,현대그린푸드,종합 소매업,"푸드서비스(단체급식), 식자재유통서비스, 공산품/생식품 유통서비스"
209,448830,미래에셋비전스팩3호,금융 지원 서비스업,기업인수목적회사(기타금융서비스)
210,448760,IBKS제22호스팩,금융 지원 서비스업,기업인수 및 합병
211,448370,하나27호스팩,금융 지원 서비스업,기업인수합병
212,452260,한화갤러리아,종합 소매업,백화점
213,358570,지아이이노베이션,자연과학 및 공학 연구개발업,면역항암제 및 알레르기 치료제
214,309960,LB인베스트먼트,기타 금융업,중소기업 창업투자
215,451800,한화리츠,부동산 임대 및 공급업,부동산투자
216,446150,유안타제12호스팩,금융 지원 서비스업,기업인수합병
217,356680,엑스게이트,소프트웨어 개발 및 공급업,통합 네트워크 보안 솔루션
218,442900,미래에셋드림스팩1호,금융 지원 서비스업,기업인수합병
219,282720,금양그린파워,전기 및 통신 공사업,"플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역"
220,418420,라온텍,전자부품 제조업,"마이크로디스플레이, 컨트롤러 IC"
221,389020,자람테크놀로지,반도체 제조업,"XGSPON, 기가와이어, 광트랜시버 등"
222,446750,하나26호스팩,금융 지원 서비스업,기업인수합병
223,417010,나노팀,일반 목적용 기계 제조업,전기차용 방열제품
224,199730,바이오인프라,자연과학 및 공학 연구개발업,"생동성시험, 검체 분석"
225,448740,삼성스팩8호,금융 지원 서비스업,기업인수합병
226,449020,유안타제13호스팩,금융 지원 서비스업,금융 지원 서비스
227,446190,미래에셋비전스팩2호,금융 지원 서비스업,기업인수합병
228,344860,이노진,기타 화학제품 제조업,"탈모케어제품(볼빅), 피부케어제품(Dr.메디션)"
229,127980,화인써키트,전자부품 제조업,인쇄회로기판(PCB)
